Target,n_binder,r,p_r,AUROC,EF@0.5%,EF@1%,Sep,binder_top_margin,nb_5pct,VS_success
ADRB1,12,0.5236668503032765,0.0805702639361355,0.9871632996632996,83.33333333333333,58.333333333333336,1.466,2.7197,-1.208,True
AGTR1,23,0.6189690343090571,0.001638598632202,0.9140039156292712,52.173913043478265,47.82608695652174,1.2911,2.3511,-1.5577,True
OX2R,12,0.3992980025741516,0.1984785786957721,0.9221380471380471,16.666666666666664,25.0,1.0018,1.0042,-1.2039,True
OX1R,12,0.6236432892973512,0.0302393555398503,0.9120370370370372,50.0,41.66666666666666,0.9809,1.1527,-1.262,True
CB1R,12,0.8441444328756634,0.0005540930690182,0.8141835016835017,66.66666666666666,33.33333333333333,0.6407307246046843,1.7953187644481663,-1.8159455895423888,True
MTNR1B,12,0.8723164010646782,0.0002148786010855,0.7237654320987654,50.0,25.0,0.4939,1.8536,-1.16,True
DRD3,22,0.5584876545155522,0.0069033435437667,0.7462571384472912,9.09090909090909,9.09090909090909,0.4697,0.9962,-1.0281,True
CXCR4,12,0.6947146770733715,0.0121631060975158,0.6832912457912458,16.666666666666664,8.333333333333332,0.3355,0.6801,-1.5317,False
PTGER2,12,0.4426592663383591,0.1495651987073673,0.6830106621773289,0.0,0.0,0.3152,-0.1942,-1.635,False
CHRM3,12,0.8300765730961176,0.0008325061672788,0.619668911335578,16.666666666666664,8.333333333333332,0.2623,2.1875,-1.0754,False
HTR4,12,0.0095767720139989,0.9764350444024352,0.583543771043771,0.0,0.0,0.1585,0.0929,-0.8572,False
F2R,12,0.7430196511118742,0.005624661818613,0.5798260381593714,16.666666666666664,8.333333333333332,0.1519,0.595,-1.3764,False
HTR7,21,0.713731455273487,0.0002798620744856,0.5496587099640534,9.523809523809522,4.761904761904761,0.1348,1.479,-1.0554,False
HTR6,12,-0.1557177317986273,0.6289106159538393,0.5331088664421998,16.666666666666664,8.333333333333332,0.1152,0.8602,-1.0977,False
GPR85,12,0.5046715642894599,0.0942622451380734,0.5375982042648709,0.0,0.0,0.0764,0.2533,-1.2088,False
SMO,12,-0.1842184319578901,0.5665469163009931,0.5155022446689114,0.0,0.0,-0.0003,-0.4417,-1.1756,False
CCR2,14,0.6462209566235579,0.0125261472291606,0.4675379426644182,0.0,0.0,-0.0108,0.0034,-1.1813,False
CCR3,10,-0.3495944373350851,0.3220713598884789,0.4901680672268907,0.0,0.0,-0.0236,-0.357,-1.1419,False
GPR37L1,12,-0.2099304362844833,0.512552747759484,0.2849326599326599,0.0,0.0,-0.3807,-0.2624,-1.228,False
CNR2,12,-0.4197763555404359,0.1742968564517564,0.2948933782267115,0.0,0.0,-0.3821,-0.5486,-1.0504,False
